id;ndigitos;status;nometitular;codseguranca;limitecredito;datavencimento
1;application Cape Verde Escudo one-to-one;BLOQUEADO;Iceland;63800;61116;2020-10-09
2;pixel Agent Hat;BLOQUEADO;challenge;1839;66507;2020-10-08
3;lavender cross-platform;LIBERADO;card Applications;22190;28970;2020-10-09
4;override Rand Loti;LIBERADO;Facilitator dot-com Bedfordshire;51909;6820;2020-10-09
5;Concrete Crescent;BLOQUEADO;Cayman Islands Dollar Tasty networks;70315;95084;2020-10-09
6;payment Cuban Peso Peso Convertible Algeria;BLOQUEADO;Garden;69007;95565;2020-10-09
7;Supervisor heuristic;LIBERADO;auxiliary payment SMTP;58993;67214;2020-10-09
8;FTP;BLOQUEADO;Meadow;28200;83122;2020-10-09
9;Optimization Expressway turn-key;ROUBADO;Music Shirt Chief;96407;82944;2020-10-08
10;SMS Canadian Dollar;LIBERADO;multi-byte Ridge SSL;72009;8804;2020-10-09
