id;nome;email;telefone;data_nascimento;cadastro
1;holistic Architect;Creola59@yahoo.com;SMTP Customer Indiana;2020-10-09;2020-10-09T02:22:33
2;Handcrafted payment;Sigrid_Windler@hotmail.com;Human magenta;2020-10-09;2020-10-09T18:30:12
3;Checking Account Checking Account;Jean67@hotmail.com;Plastic Customer Crescent;2020-10-09;2020-10-09T08:45:12
4;fuchsia Web;Mark_Pollich@gmail.com;reboot Handmade whiteboard;2020-10-09;2020-10-09T19:45:29
5;functionalities Unbranded alarm;Judah_Bernier54@yahoo.com;Research Handcrafted;2020-10-09;2020-10-09T14:24:13
6;Multi-tiered Toys;Clemens.Lowe@yahoo.com;Incredible;2020-10-09;2020-10-09T05:33:59
7;Orchestrator;Aileen.Gleichner@hotmail.com;West Virginia Front-line;2020-10-09;2020-10-08T21:46:45
8;Wooden RSS;Zion.Farrell@yahoo.com;Rustic Metal Keyboard;2020-10-09;2020-10-09T08:11:23
9;digital input;Nyah.Nader@gmail.com;Paradigm generating;2020-10-09;2020-10-09T19:40:45
10;Principal Persevering;Russel.Purdy@hotmail.com;Steel red;2020-10-09;2020-10-09T15:10:55
